pop_size,generations,crossover_rate,mutation_rate,k,crossover_type,mutation_type,best_distance,runtime,fitness_gen_100_best,fitness_gen_100_avg,fitness_gen_200_best,fitness_gen_200_avg,fitness_gen_300_best,fitness_gen_300_avg,fitness_gen_400_best,fitness_gen_400_avg,fitness_gen_500_best,fitness_gen_500_avg
100,500,0.9,0.1,5,edg,reverse,31390.60584882015,82.86636877059937,52215.93676425163,52619.71776042483,42669.322860335145,43483.078201332464,36799.22840168466,36936.69724578594,33991.86459817138,34281.889903411444,31390.60584882015,31693.857197450485
100,500,0.9,0.3,3,ordered,swap,42490.09339909039,49.206446170806885,72587.12971811561,75411.85837323913,56539.1231261853,59750.07489478378,48829.40118160236,51058.98314986419,44920.57171568038,47877.59605272689,42490.09339909039,45279.35475493316
100,500,0.9,0.3,3,ordered,reverse,27051.58553309741,48.010964155197144,65131.620068414144,70682.42209186206,46465.26425261345,50237.29641022542,36699.19862794709,37962.90168653335,30090.381623857265,31031.069570543506,27051.58553309741,27918.336696756738
100,500,0.9,0.3,3,edg,swap,31508.26997741522,84.43629384040833,67889.90239672335,78099.91927497271,45522.159203075855,50856.40001901885,37549.106951083806,40378.901063371886,33642.71434884081,37691.50614906248,31508.26997741522,34040.49565706638
100,500,0.9,0.3,3,edg,reverse,28540.249790566515,84.96377515792847,61095.74133943319,66930.20626053977,44807.55534598763,45969.82768834616,36533.88750441139,37596.70540183535,30971.18091836102,32423.4855097081,28540.249790566515,29760.97255077427
100,500,0.9,0.3,5,ordered,swap,41252.64899514741,46.94534993171692,61235.47444372364,63480.04849871827,50660.21233323893,54315.47048597539,45684.50169395008,46924.7573398909,42657.167007539734,44390.47081086236,41252.64899514741,43394.821996843835
100,500,0.9,0.3,5,ordered,reverse,23179.45739454475,49.944361209869385,58779.13822271569,61436.10147736239,32429.090682804854,33369.733837880376,25574.717432257712,26378.044263626733,24407.686574018408,25178.2153720449,23179.45739454475,23844.796958032483
100,500,0.9,0.3,5,edg,swap,29725.293985908433,83.0553207397461,50934.16634698903,52402.55898696845,37070.280279864826,38800.13294558186,33569.696309203355,35281.452870583664,30588.379755734357,31976.603196894946,29725.293985908433,31141.714028993425
100,500,0.9,0.3,5,edg,reverse,25432.234144444978,83.88547420501709,51009.33387301916,53504.59974413781,33810.009622394165,34885.249796066506,29199.237587775322,30116.87123330398,26452.92921571981,27154.143607947408,25432.234144444978,26654.261387627528
200,500,0.7,0.1,3,ordered,swap,43663.07002043014,95.20256066322327,67395.0805334816,69509.51835211246,56432.003563940816,58169.71835342857,50286.2421659392,51645.530112099375,46831.99262298095,48108.04255335084,43663.07002043014,44369.90367400458
200,500,0.7,0.1,3,ordered,reverse,27113.590145099286,91.2377769947052,59489.081649353226,62231.54184068854,39813.22907030192,40924.072216728935,31726.693717936338,32443.386909678007,29388.541334083202,29649.101897627526,27113.590145099286,27380.94324879613
200,500,0.7,0.1,3,edg,swap,28332.71709802017,154.52101182937622,51407.517953681585,53581.84179479116,39155.77079444057,40624.99278784884,32579.001706691342,32787.01480876505,29621.32246196497,30423.090729605952,28332.71709802017,28663.88885661521
200,500,0.7,0.1,3,edg,reverse,26709.49143770905,142.2508044242859,54983.656127961454,56318.186572744446,38683.24763972695,39095.07212010349,34141.26867760463,34331.05973252838,29360.502736948736,29906.881804301553,26709.49143770905,27108.16791106767
200,500,0.7,0.1,5,ordered,swap,37873.81521906709,95.44960498809814,55207.69340626936,56435.881813468906,44050.986822619445,44922.81704842622,41256.59638493564,41888.45342046288,38908.483843902606,39938.41345773239,37873.81521906709,38578.90370515241
200,500,0.7,0.1,5,ordered,reverse,28082.850887779696,94.77577710151672,57178.87761836574,58361.70137891327,40530.24938017937,42340.54886902946,33125.080549045204,34027.30896073429,29851.155535347032,30306.737830271933,28082.850887779696,29556.886325148145
200,500,0.7,0.1,5,edg,swap,33020.994899754754,150.13324427604675,49218.3801001357,51396.700763176406,38067.883640718945,39075.16499335774,35562.66036702625,36162.76530291194,33617.69569059779,34451.79956877653,33020.994899754754,33696.584305798104
200,500,0.7,0.1,5,edg,reverse,27984.35580836672,153.82067489624023,46918.0062783645,47545.75839891269,35582.77742334114,35942.56450910561,31484.445975962142,32078.780351897818,28557.676013475135,28771.832531213324,27984.35580836672,28188.710628212975
200,500,0.7,0.3,3,ordered,swap,41097.97975826704,92.0437433719635,70522.59896913609,74210.78543158469,54825.386256081234,57428.03299813635,45883.529247387836,48612.072495801905,43660.23629234714,45493.203436008356,41097.97975826704,42818.55885811476
200,500,0.7,0.3,3,ordered,reverse,27208.079021536043,96.23650908470154,62879.7764086712,68923.05815380884,39952.09821602707,41690.00269796334,33572.333288024645,34612.412307653016,28548.20197881387,31052.59560241043,27208.079021536043,30922.61833939477
200,500,0.7,0.3,3,edg,swap,25685.792489866748,145.1320264339447,54094.54183982077,60925.46410200955,37980.50781634566,41754.558643368655,30383.23163242261,32589.120194764688,27467.638447664267,29826.44239658867,25685.792489866748,27821.992209632426
