pop_size,generations,crossover_rate,mutation_rate,k,crossover_type,mutation_type,best_distance,runtime,fitness_gen_100_best,fitness_gen_100_avg,fitness_gen_200_best,fitness_gen_200_avg,fitness_gen_300_best,fitness_gen_300_avg,fitness_gen_400_best,fitness_gen_400_avg,fitness_gen_500_best,fitness_gen_500_avg
50,500,0.9,0.1,3,ordered,swap,4028887.2004571157,467.64197301864624,5319624.625602127,5337125.188507973,4805543.5553958835,4820287.011926991,4490810.70025137,4499098.786849873,4228257.381846034,4233652.123520384,4028887.2004571157,4030353.0427489877
50,500,0.9,0.1,3,ordered,reverse,3552910.2913379166,466.5873930454254,5124998.327879605,5154637.2763794325,4579852.460157617,4598271.537785563,4136838.8276295606,4142496.452145741,3835121.043366486,3848447.723390443,3552910.2913379166,3565210.911126957
50,500,0.9,0.1,3,edg,swap,3741808.1431740513,2592.4890687465668,4963095.918571138,5007731.789995043,4603605.896479681,4635692.763318152,4336061.0718862545,4346836.756692192,4017281.1132142395,4018618.997429537,3741808.1431740513,3751657.788384688
50,500,0.9,0.1,3,edg,reverse,3730883.7324934574,2466.1665234565735,5011807.353562198,5056042.03169462,4622573.47392752,4638474.923572445,4263449.746038856,4269515.002239999,3921194.0373964575,3938962.5970331626,3730883.7324934574,3747103.5076465365
50,500,0.9,0.1,5,ordered,swap,3842898.1987973875,471.8251905441284,5063729.950606009,5081468.951174177,4595301.765102054,4606438.985714958,4220650.807708248,4240592.963256571,3986208.418744239,3992673.8662604624,3842898.1987973875,3854180.0520181917
50,500,0.9,0.1,5,ordered,reverse,3359172.2016274054,466.0937740802765,4997945.901279701,5045411.003606426,4404221.438521942,4421107.216146083,3952672.085912431,3956624.5734680104,3641251.8510794886,3648694.0002368498,3359172.2016274054,3371829.8312440906
50,500,0.9,0.1,5,edg,swap,3448616.812165514,2183.7475130558014,4917986.416685989,4927648.690923851,4409420.904506095,4421504.523496942,3992925.3075625496,4001562.290081721,3681085.481001555,3694819.957217369,3448616.812165514,3454523.104271456
50,500,0.9,0.1,5,edg,reverse,3579937.32147906,2257.7594447135925,4843013.365691444,4851545.411462657,4370012.75278931,4390548.834658565,4010159.3899675687,4013688.2220621123,3772006.946588411,3789298.285900405,3579937.32147906,3580328.804933218
50,500,0.9,0.3,3,ordered,swap,3695600.178194393,470.52476501464844,5016727.011462212,5050023.033471041,4471029.202167757,4498621.546200099,4148213.0059788898,4162282.915507985,3906217.167812847,3919463.2200439963,3695600.178194393,3710395.6262219446
50,500,0.9,0.3,3,ordered,reverse,3358518.189471609,466.48593974113464,5003301.019973898,5035821.998357842,4349199.436524761,4374164.338857152,3876403.2783625075,3902096.5306475596,3570986.949524578,3594855.613946218,3358518.189471609,3375441.228167525
50,500,0.9,0.3,3,edg,swap,3557523.105833421,2885.2031309604645,4951656.683305742,4971466.895313996,4495554.044622176,4520792.314222602,4148081.3102030135,4222908.318959188,3853786.4358124738,3872451.984599447,3557523.105833421,3574260.7927241344
50,500,0.9,0.3,3,edg,reverse,3662139.6826295736,2970.083352088928,4939984.822804303,4990426.7828577,4529961.324121285,4577167.631570095,4216180.755833512,4243278.022138545,3930056.9339371487,3952980.0236018584,3662139.6826295736,3681084.4162341948
50,500,0.9,0.3,5,ordered,swap,3622054.8818637514,469.7905375957489,5098037.184225501,5122631.082505823,4546445.987780894,4559841.193256568,4142812.5559502356,4159507.2791539673,3849657.1063493188,3853455.4800745402,3622054.8818637514,3631560.2949560015
50,500,0.9,0.3,5,ordered,reverse,3212400.2759093926,467.5586750507355,4814667.974719575,4840201.261905916,4158435.99612199,4180684.5099339164,3754189.2224797,3769832.3838901436,3443852.4966078075,3457152.1382170017,3212400.2759093926,3221546.9614650775
50,500,0.9,0.3,5,edg,swap,3166933.7214625636,2353.688097000122,4851744.856188261,4922719.464072109,4253535.526818655,4273978.688461252,3823838.460226144,3834851.070064815,3468263.827088805,3481073.1384977587,3166933.7214625636,3179753.2157171736
50,500,0.9,0.3,5,edg,reverse,3154518.68699073,2187.5829701423645,4692003.144220743,4711985.0033681635,4138374.2786086462,4167222.833487864,3753625.7552541294,3762871.1440308923,3430494.560340894,3439245.4341869378,3154518.68699073,3157925.5149321784
100,500,0.7,0.1,3,ordered,swap,3718759.3039853782,825.3845572471619,5059643.240793835,5093686.352653873,4592648.988072869,4635166.852680739,4239748.584809804,4255911.0784441335,3953687.2822561455,3969773.3056358756,3718759.3039853782,3732369.8984501944
100,500,0.7,0.1,3,ordered,reverse,3315684.9799351473,834.2888090610504,5014369.13205634,5038849.536559947,4364467.703538936,4397694.085573203,3869668.7230341644,3892458.275981324,3541357.0682383813,3568829.0628588544,3315684.9799351473,3328080.9824859556
100,500,0.7,0.1,3,edg,swap,3408430.610144676,5041.886421203613,4942785.669769417,5017731.243762841,4441121.218351811,4490200.655317562,4038074.6929772594,4061085.572520046,3672145.1271576653,3706830.4320671814,3408430.610144676,3428894.2167217582
100,500,0.7,0.1,3,edg,reverse,3442415.0711000008,5299.291933298111,4704902.076219684,4764028.145208848,4331906.231324229,4371959.262102381,4034500.7940748925,4061422.1242876635,3746318.4396177605,3760178.4031258565,3442415.0711000008,3455848.3758259183
100,500,0.7,0.1,5,ordered,swap,3639591.940074592,890.8292536735535,5092393.758604038,5114992.458615446,4491815.750081812,4508111.276597845,4141256.7352850996,4147355.025898399,3846822.5831960486,3857718.1947687804,3639591.940074592,3648998.132312351
100,500,0.7,0.1,5,ordered,reverse,3115545.67888261,898.2202153205872,4861216.550843935,4891059.192698437,4212240.479494324,4228441.591848074,3715327.1967529673,3725843.4692588304,3398862.139422626,3405113.0639823293,3115545.67888261,3128127.729706614
100,500,0.7,0.1,5,edg,swap,3052403.6357660526,4205.5393242836,4658726.93266933,4728833.809946165,4110075.474633037,4141491.37178156,3666137.872649126,3681693.637196447,3301841.6888426137,3314227.72272215,3052403.6357660526,3070513.1898480807
100,500,0.7,0.1,5,edg,reverse,3144719.412951242,4236.725048303604,4687633.363375467,4724668.831659401,4109705.7365688896,4129821.9972663857,3736890.1270925277,3745936.481087793,3369266.037409895,3379452.5114169084,3144719.412951242,3153354.7248866945
100,500,0.7,0.3,3,ordered,swap,3682460.2707062024,893.6441261768341,5092445.622679045,5121154.796681899,4513405.528115308,4538915.942507439,4136003.855625553,4155243.1937163454,3882890.2854605727,3903505.5379817067,3682460.2707062024,3700972.601966372
100,500,0.7,0.3,3,ordered,reverse,3266723.466314096,915.2498440742493,4919048.290641521,4976300.74382999,4302519.6969575435,4340034.1068744585,3899484.058689829,3925526.71351588,3524592.2999134795,3549027.1394436806,3266723.466314096,3276641.706867529
100,500,0.7,0.3,3,edg,swap,3425148.8800598355,5464.6533098220825,4805626.509536969,4858727.032125759,4268343.044789756,4318499.259612964,3994748.7706922824,4032543.759497163,3691012.585508165,3730011.3417834872,3425148.8800598355,3445564.8942001075
100,500,0.7,0.3,3,edg,reverse,3188472.6807469907,5088.442736148834,4712516.567880362,4778677.809323421,4129954.4569118107,4168934.100979092,3763277.0613711425,3799104.3422176354,3452636.4537710473,3473907.267119884,3188472.6807469907,3207202.558416528
100,500,0.7,0.3,5,ordered,swap,3322036.1631600866,854.7449200153351,4807027.050795961,4834509.299520613,4203884.768241074,4233469.302218256,3785816.0769817876,3807045.210783726,3540946.2224553786,3556507.996672513,3322036.1631600866,3341255.289070687
100,500,0.7,0.3,5,ordered,reverse,2996088.6861551167,841.3566997051239,4695569.462687655,4719552.614644352,3992982.451271754,4007952.2670172625,3576259.901357456,3588699.204220221,3235843.5947591118,3249722.2723271614,2996088.6861551167,3005494.2502586283
100,500,0.7,0.3,5,edg,swap,2853092.3005433464,4449.471922636032,4517411.7313873395,4571434.889889226,3910391.892941094,3940859.106437221,3503847.7548330156,3522040.6129662166,3132348.7550630565,3141965.2087739147,2853092.3005433464,2871313.013062846
